Product Name,Image,Description,Price,Quantity,Products Url,Products Model,Products Weight,Products Weight Unit,Is Feature (Yes/ No),Video EmbedCode Link,Products Max Stock,category Name
D1 Vintage Bicycle Handmade Handicraft Diary ( Hot Pink ),891,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D2 Wonderful world Print Special Binding With Lock ( Multi Coloured ),892,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D3 Leather Handmade Paper Handcrafted Regular Diary ( Brown ),893,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D5 Handicraft Be Kind Special Binding Diary with Elastic ( Multi Coloured ),894,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D7 Handicraft Leather Diary With Pen ( Brown ),895,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D8 Bird Print Special Binding with Lock Handmade Paper ( Multi Coloured ),896,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D9 Leather Emboss with Flap and Button Handcrafted Regular Diary ( Brown ),897,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D11 Bird Print Special Binding with Lock Handmade Paper ( Multi Coloured ),898,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D12 Handicraft Tree Print Wiro Binding Notebook With Lock. ( Multi Coloured ),899,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D13 Handicraft Emboss Diary with Lock Leather ( Brown ),900,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D15 Binding Journey Print Diary with Button ( Multi Coloured ),901,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D16 Handicraft Confession Emboss Leather Diary With Lock ( Brown ),902,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D18 Beautiful Print Special Binding with Button ( Multi Coloured ),903,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D19 Scooter Print Special Binding with Button ( Multi Coloured ),904,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D21 Handicraft Leather Fly Away Emboss With Lock Notebook ( Brown ),905,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D22 Vintage Owl Print ( Camel ),906,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D23 Finished Leather with Key Notepads ( Brown ),907,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D24 Butterfly Leather Emboss with Lock Notebook ( Multi Coloured ),908,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D25 Horse Post Card Cross Diary with C-lock ( Multi Coloured ),909,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D26 Antique Bird in Old Stamp Print Diary (Notebook) with C -lock ( Multi Coloured ),910,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D27 Leather Diary with Tree of Life Embossed ( Brown ),911,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D28 Diary in One Love One Heart (Bob Marley) ( Multi Coloured ),912,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D29 Compass Embossed on Leather with Button Lock Notepads ( Brown ),913,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D30 Leather Feather Embossed Diary with C-Lock ( Forest Green ),914,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D31 You were Born Original with Elastic Notepads ( Multi Coloured ),915,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D32 Diary in Bob Marley Print ( Multi Coloured ),916,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D33 Antique Feather Embossed Diary with C-lock ( Camel ),917,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D34 Laundry Diary ( Multi Coloured ),918,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D35 Diary in Vintage Peacock Print ( Multi Coloured ),919,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D36 Antique Diary with Antique Pen Lock Pattern ( Camel ),920,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
D37 Star Embossed Diary with C-lock ( Taupe ),921,,0,50,0,,0.4,KG,No,,10,Hand Crafted Diaries
